wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
B2HoRu3	B;Ho;Ru;	2;1;3;	25 K;
B2Mn	B;Mn;	2;1;	143 K;
B2Mn5P	B;Mn;P;	2;5;1;	302 K;302 K;
B2Mn5Si	B;Mn;Si;	2;5;1;	398 K;411 K;
B2NdRh3	B;Nd;Rh;	2;1;3;	10.2 K;
B2NdRu3	B;Nd;Ru;	2;1;3;	39 K;
B2Ni13Y3	B;Ni;Y;	2;13;3;	68 K;
B2PrRu3	B;Pr;Ru;	2;1;3;	5 K;
B2Ru3Tb	B;Ru;Tb;	2;3;1;	83 K;
B2Ru3Tm	B;Ru;Tm;	2;3;1;	27 K;
B2Tb	B;Tb;	2;1;	150 K;
B3C3Fe23	B;C;Fe;	3;3;23;	742 K;
B3Ce2Co7	B;Ce;Co;	3;2;7;	250 K;
B3Co0.5Fe6.5Nd2	B;Co;Fe;Nd;	3;0.5;6.5;2;	651 K;
B3Co13.8Fe9.2Nd2	B;Co;Fe;Nd;	3;13.8;9.2;2;	1097 K;
B3Co18.4Fe4.6Nd2	B;Co;Fe;Nd;	3;18.4;4.6;2;	1156 K;
B3Co23Nd2	B;Co;Nd;	3;23;2;	1218 K;
B3Co2Fe5Nd2	B;Co;Fe;Nd;	3;2;5;2;	808 K;395 K;
B3Co3.5Fe3.5Nd2	B;Co;Fe;Nd;	3;3.5;3.5;2;	330 K;728 K;885 K;
B3Co3Fe4Nd2	B;Co;Fe;Nd;	3;3;4;2;	329 K;885 K;
B3Co4.6Fe18.4Nd2	B;Co;Fe;Nd;	3;4.6;18.4;2;	831 K;
B3Co4Fe3Nd2	B;Co;Fe;Nd;	3;4;3;2;	716 K;
B3Co5Fe2Nd2	B;Co;Fe;Nd;	3;5;2;2;	584 K;
B3Co6.5Fe0.5Nd2	B;Co;Fe;Nd;	3;6.5;0.5;2;	436 K;
B3Co6FeNd2	B;Co;Fe;Nd;	3;6;1;2;	536 K;
B3Co7Dy2	B;Co;Dy;	3;7;2;	340 K;310 K;
B3Co7Er2	B;Co;Er;	3;7;2;	320 K;
B3Co7Gd2	B;Co;Gd;	3;7;2;	376 K;
B3Co7Ho2	B;Co;Ho;	3;7;2;	329 K;
B3Co7Nd2	B;Co;Nd;	3;7;2;	332 K;336 K;330 K;335 K;
B3Co7Pr2	B;Co;Pr;	3;7;2;	323 K;340 K;
B3Co7Sm2	B;Co;Sm;	3;7;2;	402 K;403 K;
B3Co7Tb2	B;Co;Tb;	3;7;2;	355 K;
B3Co7Tm2	B;Co;Tm;	3;7;2;	314 K;
B3Co7Y2	B;Co;Y;	3;7;2;	310 K;323 K;
B3Co9.2Fe13.8Nd2	B;Co;Fe;Nd;	3;9.2;13.8;2;	978 K;
B3CoFe6Nd2	B;Co;Fe;Nd;	3;1;6;2;	417 K;721 K;
B3CoRh6	B;Co;Rh;	3;1;6;	150 K;
B3Fe23Nd2	B;Fe;Nd;	3;23;2;	659 K;
B3Fe7Nd2	B;Fe;Nd;	3;7;2;	577 K;
B3FeRh6	B;Fe;Rh;	3;1;6;	240 K;
B4Ce2Co11Gd	B;Ce;Co;Gd;	4;2;11;1;	301 K;
B4Ce3Co11	B;Ce;Co;	4;3;11;	265 K;256 K;
B4CeCo11Gd2	B;Ce;Co;Gd;	4;1;11;2;	376 K;
B4Co10FeY3	B;Co;Fe;Y;	4;10;1;3;	450 K;
B4Co11Dy3	B;Co;Dy;	4;11;3;	415 K;375 K;375 K;
B4Co11Er3	B;Co;Er;	4;11;3;	350 K;
B4Co11Gd2Nd	B;Co;Gd;Nd;	4;11;2;1;	418 K;
B4Co11Gd3	B;Co;Gd;	4;11;3;	454 K;460 K;464 K;464 K;
B4Co11GdNd2	B;Co;Gd;Nd;	4;11;1;2;	400 K;404 K;
B4Co11Ho3	B;Co;Ho;	4;11;3;	398 K;355 K;
B4Co11Nd3	B;Co;Nd;	4;11;3;	390 K;355 K;388 K;448 K;380 K;
B4Co11Pr3	B;Co;Pr;	4;11;3;	442 K;390 K;411 K;
B4Co11Sm3	B;Co;Sm;	4;11;3;	458 K;
B4Co11Tb3	B;Co;Tb;	4;11;3;	392 K;431 K;
B4Co11Tm3	B;Co;Tm;	4;11;3;	347 K;
B4Co11Y3	B;Co;Y;	4;11;3;	349 K;345 K;349 K;
B4Co21Nd5	B;Co;Nd;	4;21;5;	570 K;
B4Co5Fe6Y3	B;Co;Fe;Y;	4;5;6;3;	587 K;
B4Co6Fe5Y3	B;Co;Fe;Y;	4;6;5;3;	580 K;
B4Co7Fe4Y3	B;Co;Fe;Y;	4;7;4;3;	552 K;
B4Co9Fe2Y3	B;Co;Fe;Y;	4;9;2;3;	501 K;
B4ErRh4	B;Er;Rh;	4;1;4;	0.9 K;
B4Mn2.94Ni0.06	B;Mn;Ni;	4;2.94;0.06;	146 K;
B4Mn2Mo	B;Mn;Mo;	4;2;1;	590 K;
B4Pr	B;Pr;	4;1;	23 K;24 K;
B6CeCo12	B;Ce;Co;	6;1;12;	134.3 K;138 K;
B6Co10Fe2Gd	B;Co;Fe;Gd;	6;10;2;1;	124 K;
B6Co11.5Fe0.5Gd	B;Co;Fe;Gd;	6;11.5;0.5;1;	155 K;
B6Co11FeGd	B;Co;Fe;Gd;	6;11;1;1;	148 K;
B6Co12Dy	B;Co;Dy;	6;12;1;	145.8 K;
B6Co12Er	B;Co;Er;	6;12;1;	145.1 K;
B6Co12Gd	B;Co;Gd;	6;12;1;	162 K;158 K;
B6Co12Ho	B;Co;Ho;	6;12;1;	146 K;
B6Co12La	B;Co;La;	6;12;1;	160.4 K;160 K;
B6Co12Nd	B;Co;Nd;	6;12;1;	159 K;
B6Co12Pr	B;Co;Pr;	6;12;1;	157.7 K;
B6Co12Sm	B;Co;Sm;	6;12;1;	157.5 K;
B6Co12Tb	B;Co;Tb;	6;12;1;	154.4 K;
B6Co12Tm	B;Co;Tm;	6;12;1;	143.9 K;
B6Co12Y	B;Co;Y;	6;12;1;	150 K;150 K;148.5 K;
B6Co19Nd5	B;Co;Nd;	6;19;5;	380 K;390 K;
B6Co19Pr5	B;Co;Pr;	6;19;5;	380 K;
B6Co20Ti3	B;Co;Ti;	6;20;3;	478 K;
B6Co21Ge2	B;Co;Ge;	6;21;2;	467 K;
B6Co21Mo2	B;Co;Mo;	6;21;2;	545 K;
B6Co21Nb2	B;Co;Nb;	6;21;2;	491 K;
B6Co21Sn2	B;Co;Sn;	6;21;2;	425 K;
B6Co21W2	B;Co;W;	6;21;2;	538 K;
B6Co9Fe3Gd	B;Co;Fe;Gd;	6;9;3;1;	93 K;
B6Eu	B;Eu;	6;1;	8.4 K;12.5 K;10 K;13 K;13.9 K;15.2 K;
B6Fe12Nd	B;Fe;Nd;	6;12;1;	230 K;218 K;
B8Fe3Nb7	B;Fe;Nb;	8;3;7;	240 K;
B8Fe3Ta7	B;Fe;Ta;	8;3;7;	265 K;
B9C12Ce10	B;C;Ce;	9;12;10;	10 K;
BCe0.2Fe14La1.8	B;Ce;Fe;La;	1;0.2;14;1.8;	535 K;
BCe0.4Fe14La1.6	B;Ce;Fe;La;	1;0.4;14;1.6;	520 K;
BCe0.6Fe14La1.4	B;Ce;Fe;La;	1;0.6;14;1.4;	510 K;
BCe0.8Fe14La1.2	B;Ce;Fe;La;	1;0.8;14;1.2;	499 K;
BCe1.2Fe14La0.8	B;Ce;Fe;La;	1;1.2;14;0.8;	479 K;
BCe1.4Fe14La0.6	B;Ce;Fe;La;	1;1.4;14;0.6;	462 K;
BCe1.6Fe14La0.4	B;Ce;Fe;La;	1;1.6;14;0.4;	452 K;
BCe1.8Fe14La0.2	B;Ce;Fe;La;	1;1.8;14;0.2;	438 K;
BCe2Fe14	B;Ce;Fe;	1;2;14;	422 K;415 K;424 K;437 K;425 K;
BCe3Co20	B;Ce;Co;	1;3;20;	1081 K;
BCeCo4	B;Ce;Co;	1;1;4;	280 K;293 K;291 K;297 K;
BCeFe14La	B;Ce;Fe;La;	1;1;14;1;	487 K;
BCo	B;Co;	1;1;	477 K;
BCo0.5Fe13.5Nd2	B;Co;Fe;Nd;	1;0.5;13.5;2;	630 K;
BCo1.5DyFe2.5	B;Co;Dy;Fe;	1;1.5;1;2.5;	661 K;
BCo1.5Fe12.5Nd2	B;Co;Fe;Nd;	1;1.5;12.5;2;	689 K;
BCo1.7Fe2.3Sm	B;Co;Fe;Sm;	1;1.7;2.3;1;	794 K;
BCo1.8Fe2.2Pr0.3Sm0.7	B;Co;Fe;Pr;Sm;	1;1.8;2.2;0.3;0.7;	890 K;
BCo10.5Fe3.5Nd2	B;Co;Fe;Nd;	1;10.5;3.5;2;	980 K;
BCo10Fe4Nd2	B;Co;Fe;Nd;	1;10;4;2;	973 K;
BCo10Fe4NdTb	B;Co;Fe;Nd;Tb;	1;10;4;1;1;	1001 K;
BCo10Fe4NdY	B;Co;Fe;Nd;Y;	1;10;4;1;1;	1003 K;
BCo10Fe4Pr2	B;Co;Fe;Pr;	1;10;4;2;	958 K;
BCo10Fe4Y2	B;Co;Fe;Y;	1;10;4;2;	975 K;
BCo11Fe3Nd2	B;Co;Fe;Nd;	1;11;3;2;	987 K;
BCo11Fe3NdY	B;Co;Fe;Nd;Y;	1;11;3;1;1;	1014 K;
BCo11Fe3Pr2	B;Co;Fe;Pr;	1;11;3;2;	967 K;
BCo11Hf2	B;Co;Hf;	1;11;2;	770 K;
BCo12.4Nd2Si1.6	B;Co;Nd;Si;	1;12.4;2;1.6;	601 K;
BCo12.4Pr2Si1.6	B;Co;Pr;Si;	1;12.4;2;1.6;	574 K;
BCo12.4Si1.6Y2	B;Co;Si;Y;	1;12.4;1.6;2;	610 K;
BCo12.7Nd2Si1.3	B;Co;Nd;Si;	1;12.7;2;1.3;	682 K;
BCo12.7Pr2Si1.3	B;Co;Pr;Si;	1;12.7;2;1.3;	666 K;
BCo12Fe2NdY	B;Co;Fe;Nd;Y;	1;12;2;1;1;	1027 K;
BCo12Fe2Pr2	B;Co;Fe;Pr;	1;12;2;2;	979 K;
BCo12Fe2Y2	B;Co;Fe;Y;	1;12;2;2;	1000 K;
BCo12Nd2Si2	B;Co;Nd;Si;	1;12;2;2;	487 K;
BCo12Pr2Si2	B;Co;Pr;Si;	1;12;2;2;	470 K;
BCo13.4Nd2Si0.6	B;Co;Nd;Si;	1;13.4;2;0.6;	878 K;
BCo13.7Nd2Si0.3	B;Co;Nd;Si;	1;13.7;2;0.3;	950 K;
BCo13FeNd2	B;Co;Fe;Nd;	1;13;1;2;	999 K;
BCo13FeNdY	B;Co;Fe;Nd;Y;	1;13;1;1;1;	1033 K;
BCo13FeY2	B;Co;Fe;Y;	1;13;1;2;	1013 K;
BCo13Nd2Si	B;Co;Nd;Si;	1;13;2;1;	773 K;
BCo13Pr2Si	B;Co;Pr;Si;	1;13;2;1;	754 K;
BCo13SiY2	B;Co;Si;Y;	1;13;1;2;	777 K;
BCo14Gd2	B;Co;Gd;	1;14;2;	1050 K;1050 K;1062 K;
BCo14La2	B;Co;La;	1;14;2;	955 K;992 K;955 K;
BCo14Nd0.5Tb1.5	B;Co;Nd;Tb;	1;14;0.5;1.5;	1024 K;
BCo14Nd1.5Tb0.5	B;Co;Nd;Tb;	1;14;1.5;0.5;	1009 K;
BCo14Nd2	B;Co;Nd;	1;14;2;	995 K;1002 K;1004 K;1000 K;1007 K;1010 K;1004 K;
BCo14NdTb	B;Co;Nd;Tb;	1;14;1;1;	1015 K;
BCo14NdY	B;Co;Nd;Y;	1;14;1;1;	1009 K;
BCo14Pr2	B;Co;Pr;	1;14;2;	995 K;995 K;986 K;994 K;998 K;986 K;
BCo14Sm2	B;Co;Sm;	1;14;2;	1029 K;1029 K;1038 K;
BCo14Tb2	B;Co;Tb;	1;14;2;	1035 K;1035 K;1035 K;1028 K;
BCo14Y2	B;Co;Y;	1;14;2;	1015 K;1020 K;1015 K;1013 K;1015 K;994 K;
BCo2	B;Co;	1;2;	429 K;420 K;426 K;433 K;
BCo2.1Fe0.9	B;Co;Fe;	1;2.1;0.9;	923 K;
BCo2.4Fe0.6	B;Co;Fe;	1;2.4;0.6;	883 K;
BCo2.5DyFe1.5	B;Co;Dy;Fe;	1;2.5;1;1.5;	666 K;
BCo2.5Fe1.5Sm	B;Co;Fe;Sm;	1;2.5;1.5;1;	758 K;
BCo2.7Fe0.3	B;Co;Fe;	1;2.7;0.3;	825 K;
BCo2DyFe2	B;Co;Dy;Fe;	1;2;1;2;	663 K;
BCo2Er2Fe12	B;Co;Er;Fe;	1;2;2;12;	698 K;
BCo2Fe12Nd2	B;Co;Fe;Nd;	1;2;12;2;	720 K;727 K;
BCo2Fe12NdTb	B;Co;Fe;Nd;Tb;	1;2;12;1;1;	738 K;
BCo2Fe12Y2	B;Co;Fe;Y;	1;2;12;2;	704 K;694 K;
BCo2Fe2Nd	B;Co;Fe;Nd;	1;2;2;1;	653 K;
BCo2Fe2Pr0.3Sm0.7	B;Co;Fe;Pr;Sm;	1;2;2;0.3;0.7;	749 K;760 K;
BCo2Fe2Sm	B;Co;Fe;Sm;	1;2;2;1;	732 K;782 K;782 K;768 K;
BCo2Fe2Tb	B;Co;Fe;Tb;	1;2;2;1;	719 K;
BCo2Fe2Y	B;Co;Fe;Y;	1;2;2;1;	655 K;
BCo2FeO5	B;Co;Fe;O;	1;2;1;5;	70 K;
BCo3	B;Co;	1;3;	747 K;750 K;
BCo3.5Fe0.5Sm	B;Co;Fe;Sm;	1;3.5;0.5;1;	671 K;
BCo3DyFe	B;Co;Dy;Fe;	1;3;1;1;	650 K;
BCo3Fe11Pr2	B;Co;Fe;Pr;	1;3;11;2;	747 K;
BCo3Fe11Y2	B;Co;Fe;Y;	1;3;11;2;	757 K;762 K;
BCo3FeNd	B;Co;Fe;Nd;	1;3;1;1;	525 K;
BCo3FeSm	B;Co;Fe;Sm;	1;3;1;1;	721 K;737 K;
BCo3FeTb	B;Co;Fe;Tb;	1;3;1;1;	699 K;
BCo3FeY	B;Co;Fe;Y;	1;3;1;1;	635 K;
BCo3NiSm	B;Co;Ni;Sm;	1;3;1;1;	424 K;
BCo3O5	B;Co;O;	1;3;5;	42 K;
BCo4Dy	B;Co;Dy;	1;4;1;	425 K;420 K;
BCo4Er	B;Co;Er;	1;4;1;	387 K;
BCo4Er2Fe10	B;Co;Er;Fe;	1;4;2;10;	803 K;
BCo4Fe10Nd2	B;Co;Fe;Nd;	1;4;10;2;	820 K;823 K;
BCo4Fe10Y2	B;Co;Fe;Y;	1;4;10;2;	801 K;
BCo4Gd	B;Co;Gd;	1;4;1;	517 K;505 K;503 K;
BCo4Ho	B;Co;Ho;	1;4;1;	398 K;309 K;409 K;
BCo4La	B;Co;La;	1;4;1;	420 K;
BCo4Lu	B;Co;Lu;	1;4;1;	396 K;
BCo4Nd	B;Co;Nd;	1;4;1;	345 K;473 K;473 K;468 K;468 K;460 K;
BCo4Pr	B;Co;Pr;	1;4;1;	460 K;459 K;459 K;459 K;455 K;
BCo4Sm	B;Co;Sm;	1;4;1;	500 K;501 K;510 K;510 K;
BCo4Tb	B;Co;Tb;	1;4;1;	455 K;458 K;
BCo4Th	B;Co;Th;	1;4;1;	303 K;302 K;
BCo4Th0.2Y0.8	B;Co;Th;Y;	1;4;0.2;0.8;	352 K;
BCo4Th0.4Y0.6	B;Co;Th;Y;	1;4;0.4;0.6;	329 K;
BCo4Th0.6Y0.4	B;Co;Th;Y;	1;4;0.6;0.4;	315 K;
BCo4Th0.8Y0.2	B;Co;Th;Y;	1;4;0.8;0.2;	309 K;
BCo4Y	B;Co;Y;	1;4;1;	382 K;375 K;383 K;382 K;380 K;382 K;380 K;378 K;380 K;380 K;
BCo5Er2Fe9	B;Co;Er;Fe;	1;5;2;9;	843 K;
BCo5Fe9Nd2	B;Co;Fe;Nd;	1;5;9;2;	853 K;
BCo5Fe9Pr2	B;Co;Fe;Pr;	1;5;9;2;	831 K;
BCo5Fe9Y2	B;Co;Fe;Y;	1;5;9;2;	845 K;848 K;
BCo6Fe8Nd2	B;Co;Fe;Nd;	1;6;8;2;	880 K;
BCo6Fe8NdTb	B;Co;Fe;Nd;Tb;	1;6;8;1;1;	907 K;
BCo6Fe8Pr2	B;Co;Fe;Pr;	1;6;8;2;	863 K;
BCo6Fe8Y2	B;Co;Fe;Y;	1;6;8;2;	882 K;
BCo7Fe7Pr2	B;Co;Fe;Pr;	1;7;7;2;	893 K;
BCo7Fe7Y2	B;Co;Fe;Y;	1;7;7;2;	923 K;
BCo8.5Fe5.5Nd2	B;Co;Fe;Nd;	1;8.5;5.5;2;	943 K;
BCo8Fe6Pr2	B;Co;Fe;Pr;	1;8;6;2;	920 K;
BCo8Fe6Y2	B;Co;Fe;Y;	1;8;6;2;	944 K;
BCo9.5Fe4.5Nd2	B;Co;Fe;Nd;	1;9.5;4.5;2;	964 K;
BCo9.5Fe4.5Pr2	B;Co;Fe;Pr;	1;9.5;4.5;2;	950 K;
BCo9Fe5NdY	B;Co;Fe;Nd;Y;	1;9;5;1;1;	982 K;
BCo9Fe5Pr2	B;Co;Fe;Pr;	1;9;5;2;	942 K;
BCo9Fe5Y2	B;Co;Fe;Y;	1;9;5;2;	973 K;
BCoDyFe3	B;Co;Dy;Fe;	1;1;1;3;	660 K;
BCoFe13Nd2	B;Co;Fe;Nd;	1;1;13;2;	660 K;643 K;
BCoFe13Pr2	B;Co;Fe;Pr;	1;1;13;2;	631 K;
BCoFe13Y2	B;Co;Fe;Y;	1;1;13;2;	633 K;
BCoFe3Y	B;Co;Fe;Y;	1;1;3;1;	674 K;
BCoNi3Sm	B;Co;Ni;Sm;	1;1;3;1;	90 K;
BCr2Fe12Y2	B;Cr;Fe;Y;	1;2;12;2;	460 K;
BCr3Fe11Y2	B;Cr;Fe;Y;	1;3;11;2;	440 K;
BCr4Fe10Y2	B;Cr;Fe;Y;	1;4;10;2;	307 K;
BCrFe13Y2	B;Cr;Fe;Y;	1;1;13;2;	525 K;
BCu2MnO5	B;Cu;Mn;O;	1;2;1;5;	93 K;
BCuNi3Sm	B;Cu;Ni;Sm;	1;1;3;1;	57 K;
BH3O3	B;H;O;	1;3;3;	62 K;
BDy2Fe14	B;Dy;Fe;	1;2;14;	598 K;598 K;592 K;
BEr2Fe14	B;Er;Fe;	1;2;14;	554 K;554 K;551 K;559 K;
BFe	B;Fe;	1;1;	573 K;
BFe10Mn4Y2	B;Fe;Mn;Y;	1;10;4;2;	110 K;229 K;229 K;
BFe10Ni4Y2	B;Fe;Ni;Y;	1;10;4;2;	623 K;
BFe11Mn3Y2	B;Fe;Mn;Y;	1;11;3;2;	220 K;329 K;329 K;
BFe11Ni3Y2	B;Fe;Ni;Y;	1;11;3;2;	623 K;602 K;
BFe12Mn2Y2	B;Fe;Mn;Y;	1;12;2;2;	433 K;433 K;374 K;341 K;
BFe12Ni2Y2	B;Fe;Ni;Y;	1;12;2;2;	603 K;589 K;
BFe13MnY2	B;Fe;Mn;Y;	1;13;1;2;	505 K;505 K;479 K;441 K;
BFe13NiY2	B;Fe;Ni;Y;	1;13;1;2;	585 K;583 K;
BFe14Gd2	B;Fe;Gd;	1;14;2;	659 K;661 K;641 K;669 K;
BFe14H3Y2	B;Fe;H;Y;	1;14;3;2;	629 K;625 K;
BFe14H4Nd2	B;Fe;H;Nd;	1;14;4;2;	595 K;
BFe14Ho2	B;Fe;Ho;	1;14;2;	573 K;565 K;573 K;
BFe14La2	B;Fe;La;	1;14;2;	530 K;530 K;530 K;543 K;
BFe14Lu2	B;Fe;Lu;	1;14;2;	535 K;535 K;534 K;
BFe14Nd2	B;Fe;Nd;	1;14;2;	603 K;589 K;585 K;589 K;589 K;585 K;583 K;568 K;585 K;
BFe14NdY	B;Fe;Nd;Y;	1;14;1;1;	590 K;
BFe14Pr2	B;Fe;Pr;	1;14;2;	566 K;570 K;565 K;569 K;556 K;
BFe14Sm2	B;Fe;Sm;	1;14;2;	616 K;620 K;626 K;
BFe14Tb2	B;Fe;Tb;	1;14;2;	620 K;620 K;620 K;
BFe14Th2	B;Fe;Th;	1;14;2;	481 K;
BFe14Tm2	B;Fe;Tm;	1;14;2;	541 K;549 K;540 K;
BFe14Y2	B;Fe;Y;	1;14;2;	571 K;571 K;591 K;570 K;565 K;571 K;565 K;565 K;570 K;
BFe14Yb2	B;Fe;Yb;	1;14;2;	524 K;524 K;
BFe2	B;Fe;	1;2;	1015 K;
BFe2Ni2Sm	B;Fe;Ni;Sm;	1;2;2;1;	495 K;
BFe3	B;Fe;	1;3;	897 K;770 K;
BFe4Lu	B;Fe;Lu;	1;4;1;	573 K;567 K;
BFe9Ni5Y2	B;Fe;Ni;Y;	1;9;5;2;	616 K;
BFeNi3Sm	B;Fe;Ni;Sm;	1;1;3;1;	322 K;404 K;
BMn	B;Mn;	1;1;	579 K;571 K;
BMnNi3Sm	B;Mn;Ni;Sm;	1;1;3;1;	210 K;
BMnO4Pb	B;Mn;O;Pb;	1;1;4;1;	31 K;
BNdNi4	B;Nd;Ni;	1;1;4;	12 K;
BNi4Sm	B;Ni;Sm;	1;4;1;	40 K;39 K;
Ba0.3La0.7MnO3	Ba;La;Mn;O;	0.3;0.7;1;3;	333 K;
Ba0.6Co2Fe24O41Sr2.4	Ba;Co;Fe;O;Sr;	0.6;2;24;41;2.4;	638 K;700 K;
Ba2.6Co2Fe24O41Sr0.4	Ba;Co;Fe;O;Sr;	2.6;2;24;41;0.4;	683 K;
Ba2Co2Fe12O22	Ba;Co;Fe;O;	2;2;12;22;	613 K;
Ba2Fe12Mg2O22	Ba;Fe;Mg;O;	2;12;2;22;	553 K;50 K;
Ba2Fe12Ni2O22	Ba;Fe;Ni;O;	2;12;2;22;	663 K;
Ba2Fe12O22Zn2	Ba;Fe;O;Zn;	2;12;22;2;	403 K;
Ba2FeO6Re	Ba;Fe;O;Re;	2;1;6;1;	325 K;
Ba2MnO6Re	Ba;Mn;O;Re;	2;1;6;1;	110 K;
Ba2NaO6Os	Ba;Na;O;Os;	2;1;6;1;	6.8 K;
Ba3Co2Fe24O41	Ba;Co;Fe;O;	3;2;24;41;	683 K;
Ba3Fe24O41Zn2	Ba;Fe;O;Zn;	3;24;41;2;	633 K;
BaCaCo4O7	Ba;Ca;Co;O;	1;1;4;7;	60 K;70 K;
BaCaFe4O7	Ba;Ca;Fe;O;	1;1;4;7;	211 K;275 K;270 K;
BaCo2Fe14.2In1.8O27	Ba;Co;Fe;In;O;	1;2;14.2;1.8;27;	571 K;
BaCo2Fe16O27	Ba;Co;Fe;O;	1;2;16;27;	753 K;
BaCr2Se4	Ba;Cr;Se;	1;2;4;	125 K;
BaCrO3	Ba;Cr;O;	1;1;3;	192 K;
BaFe12O19	Ba;Fe;O;	1;12;19;	725 K;
BaFe16Ni2O27	Ba;Fe;Ni;O;	1;16;2;27;	793 K;
BaFe17O27Zn	Ba;Fe;O;Zn;	1;17;27;1;	703 K;
BaFe18O27	Ba;Fe;O;	1;18;27;	728 K;
BaFe2O8P2	Ba;Fe;O;P;	1;2;8;2;	65.5 K;
BaO3Ru	Ba;O;Ru;	1;3;1;	60 K;
BaSe3V	Ba;Se;V;	1;3;1;	43 K;
Be12Cr	Be;Cr;	12;1;	50 K;
BeCe2Co17	Be;Ce;Co;	1;2;17;	1002 K;
BeCo17Dy2	Be;Co;Dy;	1;17;2;	1147 K;
BeCo17Er2	Be;Co;Er;	1;17;2;	1145 K;
BeCo17Gd2	Be;Co;Gd;	1;17;2;	1140 K;
BeCo17Ho2	Be;Co;Ho;	1;17;2;	1140 K;
BeCo17Nd2	Be;Co;Nd;	1;17;2;	1135 K;
BeCo17Pr2	Be;Co;Pr;	1;17;2;	1130 K;
BeCo17Sm2	Be;Co;Sm;	1;17;2;	1158 K;
BeCo17Tb2	Be;Co;Tb;	1;17;2;	1148 K;
BeCo17Y2	Be;Co;Y;	1;17;2;	1095 K;
Bi0.8Fe0.5La0.2O3Sc0.5	Bi;Fe;La;O;Sc;	0.8;0.5;0.2;3;0.5;	220 K;
Bi1.25Fe5Gd1.75O12	Bi;Fe;Gd;O;	1.25;5;1.75;12;	599 K;
Bi1.91Mn0.09Te3	Bi;Mn;Te;	1.91;0.09;3;	13 K;12 K;
Bi1.96Mn0.04Te3	Bi;Mn;Te;	1.96;0.04;3;	9 K;
Bi2FeSe4	Bi;Fe;Se;	2;1;4;	450 K;
Bi2MnNiO6	Bi;Mn;Ni;O;	2;1;1;6;	140 K;
Bi3Ce4	Bi;Ce;	3;4;	3.3 K;3.3 K;
Bi3Gd4	Bi;Gd;	3;4;	340 K;
Bi4U3	Bi;U;	4;3;	108 K;112 K;
BiFe13Nd6	Bi;Fe;Nd;	1;13;6;	510 K;
BiFe5O12Y2	Bi;Fe;O;Y;	1;5;12;2;	591 K;
BiMn	Bi;Mn;	1;1;	633 K;775 K;
BiMnO3	Bi;Mn;O;	1;1;3;	105 K;100 K;
Br2Cl2CrRb2	Br;Cl;Cr;Rb;	2;2;1;2;	57 K;
Br3Cr	Br;Cr;	3;1;	32.5 K;37 K;37 K;37 K;
Br4C14CrH20N2	Br;C;Cr;H;N;	4;14;1;20;2;	52 K;
BrCl3CrRb2	Br;Cl;Cr;Rb;	1;3;1;2;	55 K;
BrCr2CuS3	Br;Cr;Cu;S;	1;2;1;3;	264 K;
BrCr2CuSe3	Br;Cr;Cu;Se;	1;2;1;3;	354 K;
BrCr2CuTe3	Br;Cr;Cu;Te;	1;2;1;3;	298 K;282 K;
BrCu4FH6O6	Br;Cu;F;H;O;	1;4;1;6;6;	15.4 K;
C0.25Mn4N0.75	C;Mn;N;	0.25;4;0.75;	850 K;
C0.303Mn4N0.697	C;Mn;N;	0.303;4;0.697;	848 K;
C0.33Dy	C;Dy;	0.33;1;	216 K;
C0.33Gd	C;Gd;	0.33;1;	350 K;
C0.33Ho	C;Ho;	0.33;1;	139 K;
C0.5CeFe10Si	C;Ce;Fe;Si;	0.5;1;10;1;	390 K;
C0.5Co10NdSi	C;Co;Nd;Si;	0.5;10;1;1;	950 K;
C0.5Co10SiSm	C;Co;Si;Sm;	0.5;10;1;1;	650 K;
C0.5Fe10GdSi	C;Fe;Gd;Si;	0.5;10;1;1;	460 K;
C0.5Fe2MnN0.5Zn	C;Fe;Mn;N;Zn;	0.5;2;1;0.5;1;	302 K;
C0.6Co9Si2Sm	C;Co;Si;Sm;	0.6;9;2;1;	304 K;
C0.78GaMn3	C;Ga;Mn;	0.78;1;3;	295 K;
C0.8Co9NdSi2	C;Co;Nd;Si;	0.8;9;1;2;	310 K;
C0.9Co9Si2Sm	C;Co;Si;Sm;	0.9;9;2;1;	298 K;
C0.9Co9Si2Y	C;Co;Si;Y;	0.9;9;2;1;	250 K;
C1.1Fe17NSm2	C;Fe;N;Sm;	1.1;17;1;2;	471 K;
C1.1Fe17Sm2	C;Fe;Sm;	1.1;17;2;	207 K;
C1.6Co9NdSi2	C;Co;Nd;Si;	1.6;9;1;2;	26 K;
C13Cl12	C;Cl;	13;12;	470 K;
C14Cl4CrH20N2	C;Cl;Cr;H;N;	14;4;1;20;2;	37 K;
C16Cl4CuH24N2	C;Cl;Cu;H;N;	16;4;1;24;2;	9.439 K;
C20Cl4CuH48N2	C;Cl;Cu;H;N;	20;4;1;48;2;	7.92 K;
C2Ce2Fe17	C;Ce;Fe;	2;2;17;	589 K;
C2Cl4CuH12N2	C;Cl;Cu;H;N;	2;4;1;12;2;	8.84 K;8.895 K;8.903 K;
C2CoDy	C;Co;Dy;	2;1;1;	9 K;10 K;
C2CoHo	C;Co;Ho;	2;1;1;	9 K;
C2CoTb	C;Co;Tb;	2;1;1;	27 K;
C2Dy2Fe17	C;Dy;Fe;	2;2;17;	683 K;
C2Er2Fe17	C;Er;Fe;	2;2;17;	675 K;
